,89,90
u530,0.0,0.0
u531,0.0,0.0
u532,0.0,0.0
u533,0.0,0.0
u534,0.0,0.0
u535,0.0,0.0
u536,0.0,0.0
u537,0.0,0.0
u538,1.0000000000000016,0.0
u539,0.0,0.0
u54,0.0,0.0
u540,0.0,0.0
u541,0.0,0.0
u542,0.0,0.0
u543,0.0,0.0
u544,0.0,0.0
u545,0.0,0.0
u546,0.0,0.0
u547,0.0,0.0
u548,0.0,0.0
u549,0.0,0.0
u55,0.0,0.0
u550,0.0,0.0
u551,0.0,0.0
u552,0.0,-0.0
u553,0.0,0.0
u554,0.0,0.0
u555,0.0,0.0
u556,0.0,0.0
u557,0.0,0.0
u558,0.0,0.0
u559,0.0,0.0
u56,0.0,0.0
u560,0.0,0.0
u561,0.0,0.0
u57,0.0,0.0
u58,0.0,0.0
u59,0.0,0.0
u6,0.0,0.0
u60,0.0,0.0
u61,-0.0,-0.0
u62,0.0,0.0
u63,0.0,0.0
u64,0.0,0.0
u65,0.0,0.0
u66,0.0,0.0
u67,0.0,0.0
u68,0.0,0.0
u69,0.0,0.0
u7,0.0,0.0
u70,0.0,0.0
u71,0.0,0.0
u72,0.0,0.0
u73,0.0,0.0
u74,0.0,0.0
u75,0.0,0.0
u76,0.0,0.0
u77,0.0,0.0
u78,0.0,0.0
u79,0.0,0.0
u8,0.0,0.0
u80,0.0,0.0
u81,0.0,0.0
u82,0.0,0.0
u83,0.0,0.0
u84,0.0,0.0
u85,0.0,0.0
u86,0.0,0.0
u87,0.0,0.0
u88,0.0,0.0
u89,0.0,0.0
u9,0.0,0.0
u90,0.0,0.0
u91,0.0,0.0
u92,0.0,0.0
u93,0.0,1.0
u94,0.0,1.0000000000000009
u95,0.0,0.0
u96,0.0,0.0
u97,0.0,0.0
u98,0.0,0.0
u99,0.0,0.0
vn0,0.0,0.0
vn0_ind,0.0,0.0
vn0_inda,1.0,1.0
vn0_indb,1.0,1.0
vn0_indc,0.0,0.0
vn0_indd,0.0,0.0
vn1,0.0,0.0
vn10,0.0,0.0
vn100,0.0,0.0
vn100_ind,0.0,0.0
vn100_inda,1.0,1.0
vn100_indb,1.0,1.0
vn100_indc,0.0,0.0
vn100_indd,0.0,0.0
vn101,0.0,0.0
vn101_ind,0.0,0.0
vn101_inda,1.0,1.0
vn101_indb,1.0,1.0
vn101_indc,0.0,0.0
vn101_indd,0.0,0.0
vn102,0.0,0.0
vn102_ind,0.0,0.0
vn102_inda,1.0,1.0
vn102_indb,1.0,1.0
vn102_indc,0.0,0.0
vn102_indd,0.0,0.0
vn103,0.0,0.0
vn103_ind,0.0,0.0
vn103_inda,1.0,1.0
vn103_indb,1.0,1.0
vn103_indc,0.0,0.0
vn103_indd,0.0,0.0
vn104,0.0,0.0
vn104_ind,0.0,0.0
vn104_inda,1.0,1.0
vn104_indb,1.0,1.0
vn104_indc,0.0,0.0
vn104_indd,0.0,0.0
vn105,0.0,0.0
vn105_ind,0.0,0.0
vn105_inda,1.0,1.0
vn105_indb,1.0,1.0
vn105_indc,0.0,0.0
vn105_indd,0.0,0.0
vn106,0.0,0.0
vn106_ind,0.0,0.0
vn106_inda,1.0,1.0
vn106_indb,1.0,1.0
vn106_indc,0.0,0.0
vn106_indd,0.0,0.0
vn107,0.0,0.0
vn107_ind,0.0,0.0
vn107_inda,1.0,1.0
vn107_indb,1.0,1.0
vn107_indc,0.0,0.0
vn107_indd,0.0,0.0
vn108,0.0,0.0
vn108_ind,0.0,0.0
vn108_inda,1.0,1.0
vn108_indb,1.0,1.0
vn108_indc,0.0,0.0
vn108_indd,0.0,0.0
vn109,0.0,0.0
vn109_ind,0.0,0.0
vn109_inda,1.0,1.0
vn109_indb,1.0,1.0
vn109_indc,0.0,0.0
vn109_indd,0.0,0.0
vn10_ind,0.0,0.0
vn10_inda,1.0,1.0
vn10_indb,1.0,1.0
vn10_indc,0.0,0.0
vn10_indd,0.0,0.0
vn11,0.0,0.0
vn110,0.0,0.0
vn110_ind,0.0,0.0
vn110_inda,1.0,1.0
vn110_indb,1.0,1.0
vn110_indc,0.0,0.0
vn110_indd,0.0,0.0
vn111,0.0,0.0
vn111_ind,0.0,0.0
vn111_inda,1.0,1.0
vn111_indb,1.0,1.0
vn111_indc,0.0,0.0
vn111_indd,0.0,0.0
vn112,0.0,0.0
vn112_ind,0.0,0.0
vn112_inda,1.0,1.0
vn112_indb,1.0,1.0
vn112_indc,0.0,0.0
vn112_indd,0.0,0.0
vn113,0.0,0.0
vn113_ind,0.0,0.0
vn113_inda,1.0,1.0
vn113_indb,1.0,1.0
vn113_indc,0.0,0.0
vn113_indd,0.0,0.0
vn114,0.0,0.0
vn114_ind,0.0,0.0
vn114_inda,1.0,1.0
vn114_indb,1.0,1.0
vn114_indc,0.0,0.0
vn114_indd,0.0,0.0
vn115,0.0,0.0
vn115_ind,0.0,0.0
vn115_inda,1.0,1.0
vn115_indb,1.0,1.0
vn115_indc,0.0,0.0
vn115_indd,0.0,0.0
vn116,0.0,0.0
vn116_ind,0.0,0.0
vn116_inda,1.0,1.0
vn116_indb,1.0,1.0
vn116_indc,0.0,0.0
vn116_indd,0.0,0.0
vn117,0.0,0.0
vn117_ind,0.0,0.0
vn117_inda,1.0,1.0
vn117_indb,1.0,1.0
vn117_indc,0.0,0.0
vn117_indd,0.0,0.0
vn118,0.0,0.0
vn118_ind,0.0,0.0
vn118_inda,1.0,1.0
vn118_indb,1.0,1.0
vn118_indc,0.0,0.0
vn118_indd,0.0,0.0
vn119,0.0,0.0
vn119_ind,0.0,0.0
vn119_inda,1.0,1.0
vn119_indb,1.0,1.0
vn119_indc,0.0,0.0
vn119_indd,0.0,0.0
vn11_ind,0.0,0.0
vn11_inda,1.0,1.0
vn11_indb,1.0,1.0
vn11_indc,0.0,0.0
vn11_indd,0.0,0.0
vn12,0.0,0.0
vn120,0.0,0.0
vn120_ind,0.0,0.0
vn120_inda,1.0,1.0
vn120_indb,1.0,1.0
vn120_indc,0.0,0.0
vn120_indd,0.0,0.0
vn121,0.0,0.0
vn121_ind,0.0,0.0
vn121_inda,1.0,1.0
vn121_indb,1.0,1.0
vn121_indc,0.0,0.0
vn121_indd,0.0,0.0
vn122,0.0,0.0
vn122_ind,-0.0,-0.0
vn122_inda,1.0,1.0
vn122_indb,1.0,1.0
vn122_indc,0.0,0.0
vn122_indd,-0.0,-0.0
vn123,0.0,0.0
vn123_ind,-0.0,-0.0
vn123_inda,1.0,1.0
vn123_indb,1.0,1.0
vn123_indc,0.0,0.0
vn123_indd,-0.0,-0.0
vn124,0.0,0.0
vn124_ind,-0.0,-0.0
vn124_inda,1.0,1.0
vn124_indb,1.0,1.0
vn124_indc,0.0,0.0
vn124_indd,-0.0,-0.0
vn125,0.0,0.0
vn125_ind,-0.0,-0.0
vn125_inda,1.0,1.0
vn125_indb,1.0,1.0
vn125_indc,0.0,0.0
vn125_indd,-0.0,-0.0
vn126,0.0,0.0
vn126_ind,-0.0,-0.0
vn126_inda,1.0,1.0
vn126_indb,1.0,1.0
vn126_indc,0.0,0.0
vn126_indd,-0.0,-0.0
vn127,0.0,0.0
vn127_ind,-0.0,-0.0
vn127_inda,1.0,1.0
vn127_indb,1.0,1.0
vn127_indc,0.0,0.0
vn127_indd,-0.0,-0.0
vn128,0.0,0.0
vn128_ind,-0.0,-0.0
vn128_inda,1.0,1.0
vn128_indb,1.0,1.0
vn128_indc,0.0,0.0
vn128_indd,-0.0,-0.0
vn129,0.0,0.0
vn129_ind,-0.0,-0.0
vn129_inda,1.0,1.0
vn129_indb,1.0,1.0
vn129_indc,0.0,0.0
vn129_indd,-0.0,-0.0
vn12_ind,0.0,0.0
vn12_inda,1.0,1.0
vn12_indb,1.0,1.0
vn12_indc,0.0,0.0
vn12_indd,0.0,0.0
vn13,0.0,0.0
vn130,0.0,0.0
vn130_ind,-0.0,-0.0
vn130_inda,1.0,1.0
vn130_indb,1.0,1.0
vn130_indc,0.0,0.0
vn130_indd,-0.0,-0.0
vn131,0.0,0.0
vn131_ind,-0.0,-0.0
vn131_inda,1.0,1.0
vn131_indb,1.0,1.0
vn131_indc,0.0,0.0
vn131_indd,-0.0,-0.0
vn132,0.0,0.0
vn132_ind,-0.0,-0.0
vn132_inda,1.0,1.0
vn132_indb,1.0,1.0
vn132_indc,0.0,0.0
vn132_indd,-0.0,-0.0
vn133,0.0,0.0
vn133_ind,-0.0,-0.0
vn133_inda,1.0,1.0
vn133_indb,1.0,1.0
vn133_indc,0.0,0.0
vn133_indd,-0.0,-0.0
vn134,0.0,0.0
vn134_ind,-0.0,-0.0
vn134_inda,1.0,1.0
vn134_indb,1.0,1.0
vn134_indc,0.0,0.0
vn134_indd,-0.0,-0.0
vn135,0.0,0.0
vn135_ind,-0.0,-0.0
vn135_inda,1.0,1.0
vn135_indb,1.0,1.0
vn135_indc,0.0,0.0
vn135_indd,-0.0,-0.0
vn136,0.0,0.0
vn136_ind,-0.0,-0.0
